year,code_union_type,code_union,variable,value
1983,B,1,quantity,6
1983,B,1,sales.m,31
1983,B,11,quantity,0
1983,B,11,sales.m,0
1983,B,12,quantity,105
1983,B,12,sales.m,58.38
1983,B,15,quantity,5431
1983,B,15,sales.m,4828.353
1983,B,16,quantity,2
1983,B,16,sales.m,12.76
1983,B,17,quantity,15
1983,B,17,sales.m,142.305
1983,B,2,quantity,204
1983,B,2,sales.m,1000.46
1983,B,3,quantity,581
1983,B,3,sales.m,1696.148
1983,B,4-2,quantity,22
1983,B,4-2,sales.m,28.398
1983,B,4-3,quantity,476
1983,B,4-3,sales.m,855.235
1983,B,4-4,quantity,34
1983,B,4-4,sales.m,114.242
1983,B,5,quantity,2017
1983,B,5,sales.m,4671.047
1983,B,6,quantity,495
1983,B,6,sales.m,925.759
1983,B,7-1,quantity,0
1983,B,7-1,sales.m,0
1983,B,7-3,quantity,880
1983,B,7-3,sales.m,3588.146
1983,B,7-8,quantity,15
1983,B,7-8,sales.m,62.2
1983,B,8,quantity,0
1983,B,8,sales.m,0
1983,B,export,quantity,310
1983,B,export,sales.m,433.099
1984,B,1,quantity,15
1984,B,1,sales.m,92.14
1984,B,11,quantity,6
1984,B,11,sales.m,16.125
1984,B,12,quantity,11
1984,B,12,sales.m,20.23
1984,B,15,quantity,5667
1984,B,15,sales.m,6492.848
1984,B,16,quantity,50
1984,B,16,sales.m,150
1984,B,17,quantity,98
1984,B,17,sales.m,329.61
1984,B,2,quantity,302
1984,B,2,sales.m,1115.929
1984,B,3,quantity,443
1984,B,3,sales.m,1011.987
1984,B,4-2,quantity,1
1984,B,4-2,sales.m,5.3
1984,B,4-3,quantity,274
1984,B,4-3,sales.m,728.783
1984,B,4-4,quantity,114
1984,B,4-4,sales.m,316.945
1984,B,5,quantity,2494
1984,B,5,sales.m,6081.558
1984,B,6,quantity,514
1984,B,6,sales.m,1131.792
1984,B,7-1,quantity,10
1984,B,7-1,sales.m,40
1984,B,7-3,quantity,1251
1984,B,7-3,sales.m,4138.624
1984,B,7-8,quantity,31
1984,B,7-8,sales.m,108.795
1984,B,8,quantity,0
1984,B,8,sales.m,0
1984,B,export,quantity,935
1984,B,export,sales.m,1115.614
1985,B,1,quantity,13
1985,B,1,sales.m,84.3
1985,B,11,quantity,6
1985,B,11,sales.m,6.625
1985,B,12,quantity,6
1985,B,12,sales.m,2.7
1985,B,15,quantity,5852
1985,B,15,sales.m,7429.903
1985,B,16,quantity,21
1985,B,16,sales.m,49.435
1985,B,17,quantity,51
1985,B,17,sales.m,142.95
1985,B,2,quantity,223
1985,B,2,sales.m,986.8
1985,B,3,quantity,517
1985,B,3,sales.m,1862.274
1985,B,4-2,quantity,11
1985,B,4-2,sales.m,39.845
1985,B,4-3,quantity,396
1985,B,4-3,sales.m,808.793
1985,B,4-4,quantity,163
1985,B,4-4,sales.m,513.56
1985,B,5,quantity,2527
1985,B,5,sales.m,7219.974
1985,B,6,quantity,642
1985,B,6,sales.m,1473.712
1985,B,7-1,quantity,47
1985,B,7-1,sales.m,92.05
1985,B,7-3,quantity,1726
1985,B,7-3,sales.m,6725.558
1985,B,7-8,quantity,12
1985,B,7-8,sales.m,57.372
1985,B,8,quantity,0
1985,B,8,sales.m,0
1985,B,export,quantity,1032
1985,B,export,sales.m,1438.211
1986,B,1,quantity,13
1986,B,1,sales.m,95
1986,B,11,quantity,5
1986,B,11,sales.m,1
1986,B,12,quantity,6
1986,B,12,sales.m,44
1986,B,15,quantity,4564
1986,B,15,sales.m,4529
1986,B,16,quantity,2
1986,B,16,sales.m,9
1986,B,17,quantity,95
1986,B,17,sales.m,256
1986,B,2,quantity,208
1986,B,2,sales.m,850
1986,B,3,quantity,488
1986,B,3,sales.m,1632
1986,B,4-2,quantity,2
1986,B,4-2,sales.m,14
1986,B,4-3,quantity,381
1986,B,4-3,sales.m,1625
1986,B,4-4,quantity,70
1986,B,4-4,sales.m,306
1986,B,5,quantity,1794
1986,B,5,sales.m,4075
1986,B,6,quantity,175
1986,B,6,sales.m,320
1986,B,7-1,quantity,0
1986,B,7-1,sales.m,0
1986,B,7-3,quantity,1352
1986,B,7-3,sales.m,5379
1986,B,7-8,quantity,10
1986,B,7-8,sales.m,64
1986,B,8,quantity,2
1986,B,8,sales.m,16
1986,B,export,quantity,981
1986,B,export,sales.m,1765
1987,B,1,quantity,22
1987,B,1,sales.m,173
1987,B,11,quantity,5
1987,B,11,sales.m,1
1987,B,12,quantity,1
1987,B,12,sales.m,4
1987,B,15,quantity,4792
1987,B,15,sales.m,4820
1987,B,16,quantity,18
1987,B,16,sales.m,87
1987,B,17,quantity,101
1987,B,17,sales.m,274
1987,B,2,quantity,139
1987,B,2,sales.m,484
1987,B,3,quantity,562
1987,B,3,sales.m,1407
1987,B,4-2,quantity,13
1987,B,4-2,sales.m,47
1987,B,4-3,quantity,1103
1987,B,4-3,sales.m,1192
1987,B,4-4,quantity,46
1987,B,4-4,sales.m,123
1987,B,5,quantity,1072
1987,B,5,sales.m,3213
1987,B,6,quantity,119
1987,B,6,sales.m,226
1987,B,7-1,quantity,0
1987,B,7-1,sales.m,0
1987,B,7-3,quantity,1162
1987,B,7-3,sales.m,5018
1987,B,7-8,quantity,9
1987,B,7-8,sales.m,27
1987,B,8,quantity,3
1987,B,8,sales.m,15
1987,B,export,quantity,1566
1987,B,export,sales.m,2358
1978,C,1,quantity,1
1978,C,1,sales.m,270
1978,C,11,quantity,0
1978,C,11,sales.m,0
1978,C,12,quantity,0
1978,C,12,sales.m,0
1978,C,15,quantity,66
1978,C,15,sales.m,137.8
1978,C,16,quantity,0
1978,C,16,sales.m,0
1978,C,17,quantity,3
1978,C,17,sales.m,3
1978,C,2,quantity,153
1978,C,2,sales.m,143.3
1978,C,3,quantity,30
1978,C,3,sales.m,171.515
1978,C,4-2,quantity,6
1978,C,4-2,sales.m,9
1978,C,4-3,quantity,19
1978,C,4-3,sales.m,155.45
1978,C,4-4,quantity,0
1978,C,4-4,sales.m,0
1978,C,5,quantity,142
1978,C,5,sales.m,950.007
1978,C,6,quantity,6
1978,C,6,sales.m,10.1
1978,C,7-1,quantity,0
1978,C,7-1,sales.m,0
1978,C,7-3,quantity,208
1978,C,7-3,sales.m,3462.163
1978,C,7-8,quantity,12
1978,C,7-8,sales.m,31
1978,C,8,quantity,0
1978,C,8,sales.m,0
1978,C,export,quantity,6
1978,C,export,sales.m,31
1979,C,1,quantity,0
1979,C,1,sales.m,0
1979,C,11,quantity,0
1979,C,11,sales.m,0
1979,C,12,quantity,0
1979,C,12,sales.m,0
1979,C,15,quantity,254
1979,C,15,sales.m,298.02
1979,C,16,quantity,0
1979,C,16,sales.m,0
1979,C,17,quantity,5
1979,C,17,sales.m,18
1979,C,2,quantity,19
1979,C,2,sales.m,349.8
1979,C,3,quantity,34
1979,C,3,sales.m,145.33
1979,C,4-2,quantity,8
1979,C,4-2,sales.m,52
1979,C,4-3,quantity,27
1979,C,4-3,sales.m,122.636
1979,C,4-4,quantity,0
1979,C,4-4,sales.m,0
1979,C,5,quantity,274
1979,C,5,sales.m,1314.513
1979,C,6,quantity,89
1979,C,6,sales.m,217.5
1979,C,7-1,quantity,0
1979,C,7-1,sales.m,0
1979,C,7-3,quantity,344
1979,C,7-3,sales.m,4477.77
1979,C,7-8,quantity,9
1979,C,7-8,sales.m,41.5
1979,C,8,quantity,0
1979,C,8,sales.m,0
1979,C,export,quantity,1
1979,C,export,sales.m,50
1980,C,1,quantity,0
1980,C,1,sales.m,0
1980,C,11,quantity,0
1980,C,11,sales.m,0
1980,C,12,quantity,0
1980,C,12,sales.m,0
1980,C,15,quantity,583
1980,C,15,sales.m,1244.613
1980,C,16,quantity,0
1980,C,16,sales.m,0
1980,C,17,quantity,100
1980,C,17,sales.m,356.19
1980,C,2,quantity,80
1980,C,2,sales.m,310.28
1980,C,3,quantity,25
1980,C,3,sales.m,110.9
1980,C,4-2,quantity,0
1980,C,4-2,sales.m,0
1980,C,4-3,quantity,8
1980,C,4-3,sales.m,90.7
1980,C,4-4,quantity,7
1980,C,4-4,sales.m,35.82
1980,C,5,quantity,264
1980,C,5,sales.m,1480.94
1980,C,6,quantity,29
1980,C,6,sales.m,125.21
1980,C,7-1,quantity,0
1980,C,7-1,sales.m,0
1980,C,7-3,quantity,126
1980,C,7-3,sales.m,5247.517
1980,C,7-8,quantity,0
1980,C,7-8,sales.m,0
1980,C,8,quantity,0
1980,C,8,sales.m,0
1980,C,export,quantity,0
1980,C,export,sales.m,0
1981,C,1,quantity,1
1981,C,1,sales.m,12.4
1981,C,11,quantity,0
1981,C,11,sales.m,0
1981,C,12,quantity,1
1981,C,12,sales.m,11.5
1981,C,15,quantity,1607
1981,C,15,sales.m,4134.327
1981,C,16,quantity,7
1981,C,16,sales.m,53.11
1981,C,17,quantity,27
1981,C,17,sales.m,364.62
1981,C,2,quantity,78
1981,C,2,sales.m,279.649
1981,C,3,quantity,41
1981,C,3,sales.m,171.44
