code_union,code_union_app,variable,value,year
7-3,900,sales.m,831.061,1981
7-8,110,quantity,21,1981
7-8,110,sales.m,33.5,1981
7-8,160,quantity,50,1981
7-8,160,sales.m,590.97,1981
7-8,170,quantity,0,1981
7-8,170,sales.m,0,1981
7-8,190,quantity,2,1981
7-8,190,sales.m,11,1981
7-8,200,quantity,53,1981
7-8,200,sales.m,272.55,1981
7-8,900,quantity,6,1981
7-8,900,sales.m,61.1,1981
8,110,quantity,3,1981
8,110,sales.m,27.544,1981
8,160,quantity,0,1981
8,160,sales.m,0,1981
8,170,quantity,0,1981
8,170,sales.m,0,1981
8,190,quantity,0,1981
8,190,sales.m,0,1981
8,200,quantity,0,1981
8,200,sales.m,0,1981
8,900,quantity,4,1981
8,900,sales.m,44.2,1981
export,110,quantity,192,1981
export,110,sales.m,229.5,1981
export,160,quantity,227,1981
export,160,sales.m,2965.88,1981
export,170,quantity,21,1981
export,170,sales.m,220.5,1981
export,190,quantity,143,1981
export,190,sales.m,924.253,1981
export,200,quantity,182,1981
export,200,sales.m,141.692,1981
export,900,quantity,307,1981
export,900,sales.m,1472.032,1981
1,110,quantity,48,1982
1,110,sales.m,695.474,1982
1,160,quantity,3,1982
1,160,sales.m,28,1982
1,170,quantity,0,1982
1,170,sales.m,0,1982
1,190,quantity,31,1982
1,190,sales.m,417.981,1982
1,200,quantity,8,1982
1,200,sales.m,58.3,1982
1,900,quantity,131,1982
1,900,sales.m,784.738,1982
11,110,quantity,31,1982
11,110,sales.m,129.85,1982
11,160,quantity,0,1982
11,160,sales.m,0,1982
11,170,quantity,0,1982
11,170,sales.m,0,1982
11,190,quantity,0,1982
11,190,sales.m,0,1982
11,200,quantity,0,1982
11,200,sales.m,0,1982
11,900,quantity,14,1982
11,900,sales.m,97.85,1982
12,110,quantity,46,1982
12,110,sales.m,181.9,1982
12,160,quantity,0,1982
12,160,sales.m,0,1982
12,170,quantity,0,1982
12,170,sales.m,0,1982
12,190,quantity,0,1982
12,190,sales.m,0,1982
12,200,quantity,66,1982
12,200,sales.m,51.709,1982
12,900,quantity,88,1982
